G FWHM,G Shift,2D FWHM,2D Shift,2D/G,D/G,R/G,R'/G,_Target
15.9629,1583.355,53.157,2697.108,0.745839833,0.038486873,0,0,BLG-AB
15.3705,1585.003,54.2082,2699.081,0.593859863,0.074399795,0,0,BLG-AB
14.8778,1586.218,54.8314,2696.817,0.511512408,0.041030372,0,0,BLG-AB
15.4205,1581.754,52.4126,2693.846,0.730609931,0.032899867,0,0,BLG-AB
17.702,1581.753,53.8407,2694.142,0.835254495,0.042749904,0,0,BLG-AB
15.5662,1581.864,53.4292,2694.838,0.807198407,0.034133569,0,0,BLG-AB
14.9174,1587.284,54.81,2697.74,0.51988843,0.03357653,0,0,BLG-AB
14.1248,1580.693,52.6545,2691.628,0.712496639,0.035878772,0,0,BLG-AB
15.7249,1586.04,55.0932,2694.825,0.515602513,0.055068148,0,0,BLG-AB
14.1438,1581.058,53.2704,2694.192,0.768221768,0.032241973,0,0,BLG-AB
15.3554,1585.767,54.9208,2696.293,0.513964975,0.039452806,0,0,BLG-AB
16.4621,1581.895,52.6304,2694.177,0.76250242,0.034121356,0,0,BLG-AB
14.3245,1581.214,52.9841,2693.919,0.743731208,0.033955145,0,0,BLG-AB
14.6065,1582.493,51.4944,2695.3,0.694095907,0.039103,0,0,BLG-AB
15.1138,1586.704,54.8439,2695.289,0.516027503,0.033105394,0,0,BLG-AB
16.423,1585.515,55.7338,2692.89,0.545104011,0.041432572,0,0,BLG-AB
15.0459,1581.727,52.9349,2693.189,0.746932459,0.036437713,0,0,BLG-AB
15.8003,1581.975,53.3855,2693.219,0.739087141,0.037014675,0,0,BLG-AB
16.8649,1582.883,55.5024,2694.371,0.643405999,0.065565374,0,0,BLG-AB
